ID,botType_ID,lang_code,name,content,createdAt,createdBy,modifiedAt,modifiedBy
89013918-91d9-4631-8b67-00f0033bd405,3248281a-98e8-4c3d-8946-db23ee0e5f03,en,RAP_Basic_Structure,"Generate a complete RAP business object structure with standard operations like create, read, update, and delete.",2023-01-15T10:00:00.000Z,admin.rap@example.com,2023-01-15T10:00:00.000Z,admin.rap@example.com
7abc1234-def5-6789-gh01-ijklmnop2345,3248281a-98e8-4c3d-8946-db23ee0e5f03,en,RAP_Behavior_Definition,Create a behavior definition that fully supports all CRUD operations for the RAP business object.,2023-01-15T10:30:00.000Z,admin.rap@example.com,2023-01-15T10:30:00.000Z,admin.rap@example.com
8def5678-gh01-ijkl-mnop-qrstuvw3456,3248281a-98e8-4c3d-8946-db23ee0e5f03,en,RAP_Service_Definition,Define an OData service including the service definition and service binding configuration for the RAP scenario.,2023-01-15T11:00:00.000Z,admin.rap@example.com,2023-01-15T11:00:00.000Z,admin.rap@example.com
9ghi2345-jklm-nopq-rstu-vwxyzab4567,324829b2-d790-4e85-811c-24c4b43989db,en,RAP_Database_Table,Create a CDS entity with appropriate technical configurations to act as the persistence layer in RAP.,2023-01-16T09:00:00.000Z,admin.rap@example.com,2023-01-16T09:00:00.000Z,admin.rap@example.com
0jkl3456-mnop-qrst-uvwx-yzabcd5678,324829b2-d790-4e85-811c-24c4b43989db,en,RAP_Interface_View,Generate an interface CDS view with required associations for entity exposure in RAP.,2023-01-16T09:30:00.000Z,admin.rap@example.com,2023-01-16T09:30:00.000Z,admin.rap@example.com
1mno4567-pqrs-tuvw-xyza-bcdefg6789,324829b2-d790-4e85-811c-24c4b43989db,en,RAP_Projection_View,Create a projection CDS view that selects only the necessary fields for the user-facing RAP interface.,2023-01-16T10:00:00.000Z,admin.rap@example.com,2023-01-16T10:00:00.000Z,admin.rap@example.com
2pqr5678-stuv-wxyz-abcd-efghij7890,324830c3-e8a1-4f96-922d-35d5b54990ec,en,RAP_Authorization,Define authorization objects and implement access control logic in the RAP application.,2023-01-17T14:00:00.000Z,admin.rap@example.com,2023-01-17T14:00:00.000Z,admin.rap@example.com
3stu6789-vwxy-zabc-defg-hijklm8901,324830c3-e8a1-4f96-922d-35d5b54990ec,en,RAP_Validation,Implement validation and determination logic for field-level and object-level consistency in RAP.,2023-01-17T14:30:00.000Z,admin.rap@example.com,2023-01-17T14:30:00.000Z,admin.rap@example.com
4vwx7890-yzab-cdef-ghij-klmnop9012,324830c3-e8a1-4f96-922d-35d5b54990ec,en,RAP_Action,Define custom actions and functions in the RAP behavior definition.,2023-01-17T15:00:00.000Z,admin.rap@example.com,2023-01-17T15:00:00.000Z,admin.rap@example.com
5yza8901-bcde-fghi-jklm-nopqrs0123,b1c45d23-1234-5678-a901-234567890abc,en,RAP_Error_Handling,Implement structured error handling and return meaningful messages in RAP events or validations.,2023-01-18T09:00:00.000Z,admin.rap@example.com,2023-01-18T09:00:00.000Z,admin.rap@example.com
6bcd9012-efgh-ijkl-mnop-qrstuv1234,b1c45d23-1234-5678-a901-234567890abc,en,RAP_Draft_Support,Enable and configure draft handling in the RAP BO to support editing without immediate persistence.,2023-01-18T09:30:00.000Z,admin.rap@example.com,2023-01-18T09:30:00.000Z,admin.rap@example.com
7cde0123-fghi-jklm-nopq-rstuvw2345,c2d56e34-2345-6789-b012-345678901bcd,en,RAP_Search_Help,Create search helps and value help associations for fields in RAP user interfaces.,2023-01-18T10:00:00.000Z,admin.rap@example.com,2023-01-18T10:00:00.000Z,admin.rap@example.com
10klm6789-opqr-stuv-wxyz-abcdef8901,c2d56e34-2345-6789-b012-345678901bcd,en,RAP_Data_Modeling,Design data models and define relationships between entities for a RAP-based architecture.,2023-01-19T11:00:00.000Z,admin.rap@example.com,2023-01-19T11:00:00.000Z,admin.rap@example.com
11nop7890-qrst-uvwx-yzab-cdefgh9012,c2d56e34-2345-6789-b012-345678901bcd,en,RAP_Extensibility,Implement extensibility options in the RAP model to allow custom fields or logic injection.,2023-01-19T11:30:00.000Z,admin.rap@example.com,2023-01-19T11:30:00.000Z,admin.rap@example.com
13pqr9012-wxyz-abcd-efgh-ijklmn1234,d3e67f45-3456-7890-c123-456789012cde,en,RAP_Notifications,Create 2 task with this bot instances id: ef941e16-5a0d-4856-a8da-ff3585356447,2023-01-19T12:30:00.000Z,admin.rap@example.com,2023-01-19T12:30:00.000Z,admin.rap@example.com
9efg2345-hijk-lmno-pqrs-tuvwxy4567,e4f78g56-4567-8901-d234-567890123def,en,RAP_Integration,Define and configure integration points for RAP applications with external systems.,2023-01-18T11:00:00.000Z,admin.rap@example.com,2023-01-18T11:00:00.000Z,admin.rap@example.com
14qrs0123-xyza-bcde-fghi-jklmno2345,e4f78g56-4567-8901-d234-567890123def,en,RAP_Backup,Design and describe strategies for data backup and recovery for RAP applications.,2023-01-19T13:00:00.000Z,admin.rap@example.com,2023-01-19T13:00:00.000Z,admin.rap@example.com
15rst1234-yzab-cdef-ghij-klmnop3456,e4f78g56-4567-8901-d234-567890123def,en,RAP_Archiving,Implement data archiving logic and configuration for RAP-managed business objects.,2023-01-19T13:30:00.000Z,admin.rap@example.com,2023-01-19T13:30:00.000Z,admin.rap@example.com
